id_zone,id_quartier,nom_quartier,piece,epoque,meuble_txt,ref,max,min,annee,ville,code_grand_quartier,lat,lon
2,3,Palais-Royal,1,1971-1990,non meublé,27.9,33.48,19.53,2020,PARIS,7510103,48.8646599781,2.33630891897
5,38,Porte-Saint-Denis,1,Apres 1990,meublé,31.5,37.8,22.05,2020,PARIS,7511038,48.873617661,2.35228289495
13,72,La Chapelle,3,Apres 1990,meublé,20.3,24.36,14.21,2020,PARIS,7511872,48.8940121696,2.36438677903
8,57,Saint-Lambert,1,Apres 1990,meublé,30.4,36.48,21.28,2020,PARIS,7511557,48.8342936284,2.29691997445
4,10,Enfants-Rouges,4,1971-1990,non meublé,22.9,27.48,16.03,2020,PARIS,7510310,48.863887392,2.36312330099
9,69,Grandes-Carrières,3,Apres 1990,meublé,24.5,29.4,17.15,2020,PARIS,7511869,48.8925777711,2.33436308991
4,6,Vivienne,4,Apres 1990,non meublé,24.9,29.88,17.43,2020,PARIS,7510206,48.8691001998,2.33946074375
12,56,Plaisance,1,Apres 1990,meublé,29.5,35.4,20.65,2020,PARIS,7511456,48.8303170426,2.31530493157
5,33,Saint-Georges,1,Apres 1990,non meublé,27.9,33.48,19.53,2020,PARIS,7510933,48.8799343388,2.33285019656
10,44,Sainte-Marguerite,4,Avant 1946,non meublé,20.6,24.72,14.42,2020,PARIS,7511144,48.852096507,2.3887648336
11,54,Parc-de-Montsouris,2,Avant 1946,meublé,27.3,32.76,19.11,2020,PARIS,7511454,48.8234527716,2.33707017986
10,44,Sainte-Marguerite,2,Avant 1946,non meublé,24.6,29.52,17.22,2020,PARIS,7511144,48.852096507,2.3887648336
9,46,Picpus,4,Avant 1946,non meublé,20.9,25.08,14.63,2020,PARIS,7511246,48.8303592424,2.42882681508
1,23,Notre-Dame-des-Champs,4,Apres 1990,non meublé,29.9,35.88,20.93,2020,PARIS,7510623,48.846427594,2.32735687823
11,54,Parc-de-Montsouris,1,1971-1990,meublé,28.7,34.44,20.09,2020,PARIS,7511454,48.8234527716,2.33707017986
5,38,Porte-Saint-Denis,4,Avant 1946,meublé,22.7,27.24,15.89,2020,PARIS,7511038,48.873617661,2.35228289495
2,30,Faubourg-du-Roule,1,Apres 1990,non meublé,32.1,38.52,22.47,2020,PARIS,7510830,48.8741355756,2.30411880972
10,49,Salpêtrière,3,Avant 1946,meublé,26.3,31.56,18.41,2020,PARIS,7511349,48.8374058852,2.36331863515
1,25,Saint-Thomas-d'Aquin,2,1946-1970,meublé,30.1,36.12,21.07,2020,PARIS,7510725,48.8552632694,2.32558765258
11,40,Hôpital-Saint-Louis,3,Apres 1990,meublé,23.6,28.32,16.52,2020,PARIS,7511040,48.87600829,2.36812301789
